orf	UNIPROT	GENENAME	SGD	OG	HAS_ORTHOLOG	len_ref	len_msa.yk11	n_snp	f_snp	len_msa.fungi	pid.fungi	n_species	f_species	n_matched.fungi	n_mismatched.fungi	n_indel.fungi	f_matched.fungi	f_indel.fungi	r4s.fungi	iq_cat.fungi	leisr_up.fungi	leisr_global.fungi	leisr_local.fungi	n_strains	f_strains	n_matched.yk11	n_indel.yk11	f_matched.yk11	f_mismatched.yk11	f_indel.yk11	r4s.yk11	leisr_up.yk11	leisr_global.yk11	leisr_local.yk11
YAL015C	P31378	NTG1	S000000013	3RTI1	TRUE	399	399	77	0.19298245614035087	1125	0.15037593984962405	14	1	56	339	155	0.14035087719298245	0.38847117794486213	1.6665791979949875	2.654135338345865	681.0836800668108	-21.445780685601704	-19.35313416062492	1012	1	322	0	0.8070175438596491	0.19298245614035087	0	0.17828378696741853	4.755053405417647	-11.709080884324186	-8.880788126157675
YAL016W	P31383	TPD3	S000000014	3RT0H	TRUE	635	635	79	0.12440944881889764	707	0.31496062992125984	14	1	184	435	81	0.28976377952755905	0.12755905511811025	0.8020976377952755	2.02992125984252	69.6782552439906	-13.448056973839007	-11.837204756938414	1012	1	556	0	0.8755905511811024	0.12440944881889764	0	0.06141329921259842	6.374928283244316	-7.298793499951229	-6.052840327899889
YAL017W	P31374	PSK1	S000000015	3RSQC	TRUE	1356	1356	284	0.20943952802359883	1742	0.18510324483775809	14	1	136	1105	591	0.10029498525073746	0.4358407079646018	1.5729775073746313	2.7293510324483776	275.1163575019218	-19.557157320844702	-17.16370430821157	1012	1	1072	0	0.7905604719764012	0.20943952802359883	0	0.13727581932153393	4.3142705559909915	-11.85602786322635	-9.42516669564474
YAL019W	P31380	FUN30	S000000017	3RR6J	TRUE	1131	1131	155	0.13704686118479223	1452	0.22634836427939875	14	1	222	875	615	0.1962864721485411	0.5437665782493368	1.3499084880636605	2.4129089301503095	263.63430788620343	-17.26407685337135	-15.144626704782493	1012	1	976	0	0.8629531388152077	0.13704686118479223	0	0.09553352961980548	5.330600100001527	-8.37542006641858	-6.511432544456548
YAL021C	P31384	CCR4	S000000019	3RSE2	TRUE	837	837	114	0.13620071684587814	1050	0.18637992831541217	14	1	150	681	205	0.17921146953405018	0.24492234169653523	1.036163440860215	2.2951015531660692	102.11494754836434	-16.456351284448296	-14.809514028147447	1012	1	723	0	0.8637992831541219	0.13620071684587814	0	0.10948495818399044	4.161365434878591	-10.815432687913077	-7.934164736937557
YAL022C	P31381	FUN26	S000000020	3RTQM	TRUE	517	517	81	0.15667311411992263	572	0.20309477756286265	14	1	79	412	162	0.1528046421663443	0.31334622823984526	1.3875423597678918	2.382978723404255	239.69541052987404	-17.81832374420303	-15.663040698279799	1012	1	436	0	0.8433268858800773	0.15667311411992263	0	0.09760304642166344	4.9221886484985244	-9.426607831247606	-7.36793126172526
YAL023C	P31382	PMT2	S000000021	3RRSH	TRUE	759	759	91	0.11989459815546773	856	0.2832674571805006	14	1	215	544	33	0.28326745718050067	0.043478260869565216	1.0033852437417654	2.242424242424242	18.9633298622363	-15.79783186763407	-13.777095210900498	1012	1	668	0	0.8801054018445322	0.11989459815546773	0	0.057143855072463764	6.021223027340404	-7.680360448082966	-6.203130770931693
YAL024C	P07866	LTE1	S000000022	3RRKW	TRUE	1435	1435	245	0.17073170731707318	2379	0.09337979094076654	14	1	94	1301	596	0.06550522648083623	0.41533101045296167	1.7719752613240418	2.8062717770034844	313.2628576171868	-22.526828593353624	-20.563494598894074	1012	1	1190	0	0.8292682926829268	0.17073170731707318	0	0.1142676606271777	4.270625054500446	-10.848456811071332	-8.3003216689634
YAL025C	P10962	MAK16	S000000023	3RS1S	TRUE	306	306	35	0.11437908496732026	367	0.39542483660130723	14	1	121	185	27	0.3954248366013072	0.08823529411764706	0.7593969607843137	2.1209150326797386	37.807089398797935	-12.650553459714205	-10.983439685766506	1012	1	271	0	0.8856209150326797	0.11437908496732026	0	0.03367101960784314	11.271084235712824	-4.951399351360749	-4.34080501161469
YAL026C	P39524	DRS2	S000000024	3RSW2	TRUE	1355	1355	164	0.12103321033210332	1485	0.411070110701107	14	1	180	798	912	0.13284132841328414	0.6730627306273063	0.8505029298892989	1.8907749077490774	124.13519215998477	-12.999320146416297	-11.02333319505896	1012	1	1191	0	0.8789667896678967	0.12103321033210332	0	0.07448930184501845	5.875222947171273	-8.294967128762199	-6.506177596216142
YAL029C	P32492	MYO4	S000000027	3RRH0	TRUE	1471	1471	304	0.20666213460231136	1645	0.318830727396329	14	1	401	1002	175	0.2726036709721278	0.11896668932698844	0.8919971244051665	2.090414683888511	78.63798059698135	-15.281330331045528	-13.338534429798154	1012	1	1167	0	0.7933378653976887	0.20666213460231136	0	0.1344251835486064	3.839348713739022	-12.7398233767234	-9.813265522223695
YAL030W	P31109	SNC1	S000000028	3RUTC	TRUE	117	117	12	0.10256410256410256	146	0.5470085470085471	14	1	48	53	43	0.41025641025641024	0.36752136752136755	0.572161452991453	1.8803418803418803	94.35543393368658	-8.543672092070146	-7.240129415881979	1012	1	105	0	0.8974358974358975	0.10256410256410256	0	0.032049615384615385	13.502687131470779	-4.370842558517712	-3.808301537069891
YAL031C	P39732	GIP4	S000000029	3RRM6	TRUE	760	760	170	0.2236842105263158	1077	0.03289473684210531	14	1	19	735	190	0.025	0.25	1.8098119736842104	2.736842105263158	228.9096841240232	-24.804795110940024	-23.52866219836615	1012	1	590	0	0.7763157894736842	0.2236842105263158	0	NA	4.064826936134023	-12.692714291495195	-9.850726279954635
YAL032C	P28004	PRP45	S000000030	3RTYV	TRUE	379	379	72	0.18997361477572558	723	0.0949868073878628	14	1	23	343	162	0.06068601583113457	0.42744063324538256	1.523352506596306	2.62532981530343	191.06685616828563	-20.079473507307704	-18.493271553395537	1012	1	307	0	0.8100263852242744	0.18997361477572558	0	0.13737119525065963	3.699792611555524	-11.402361574237762	-8.392834486246187
YAL033W	P28005	POP5	S000000031	3RUKX	TRUE	173	173	35	0.2023121387283237	265	0.1560693641618497	14	1	27	146	34	0.15606936416184972	0.19653179190751446	1.3652132947976878	2.1098265895953756	121.32655466938401	-20.001152517288872	-17.997643521059466	1012	1	138	0	0.7976878612716763	0.2023121387283237	0	0.05339915606936416	5.963401106015902	-6.807626169032015	-5.8906612293522835
YAL034C	P28003	FUN19	S000002134	3RRNM	TRUE	413	413	102	0.2469733656174334	507	0.18401937046004846	14	1	53	337	160	0.12832929782082325	0.387409200968523	1.6072924939467312	2.5351089588377724	274.7547403698165	-19.748567949641902	-17.777285502567217	1012	1	311	0	0.7530266343825666	0.2469733656174334	0	0.11521767312348669	4.21315837445101	-11.49347388043202	-9.323362182233378
YAL034W-A	P39731	MTW1	S000000032	3RU4D	TRUE	289	289	56	0.19377162629757785	551	0.10380622837370246	14	1	27	259	150	0.09342560553633218	0.5190311418685121	1.6825709342560553	2.4567474048442905	420.7963656329082	-21.92262238570738	-19.85847624929398	1011	0.9990118577075099	233	289	0.8062283737024222	0.19377162629757785	1	0.1136442491349481	3.621844885958739	-11.834447901767934	-8.771590678468932
YAL035W	P39730	FUN12	S000000033	3RT8Z	TRUE	1002	1002	117	0.11676646706586827	1188	0.4750499001996008	14	1	333	526	280	0.3323353293413174	0.27944111776447106	0.8121083932135729	1.8213572854291418	234.3184706887514	-12.697395988549923	-10.614565485837021	1009	0.9970355731225297	885	1002	0.8832335329341318	0.11676646706586827	1	0.087515375249501	5.805582247066166	-7.863048851981383	-6.045380833469441
YAL036C	P39729	RBG1	S000000034	3RTVS	TRUE	369	369	20	0.05420054200542006	396	0.6937669376693767	14	1	256	113	2	0.6937669376693767	0.005420054200542005	0.19424655826558265	1.7615176151761518	6.488785713828631	-6.399361964493525	-5.519788243275272	1001	0.9891304347826086	349	369	0.94579945799458	0.05420054200542006	1	0.015809642276422765	23.237355404302132	-3.741120063610462	-3.403768689729982
YAL037W	P39728	YAL037W	S000000035	NA	TRUE	267	267	87	0.3258426966292135	418	0.0037453183520599342	14	1	1	266	65	0.003745318352059925	0.24344569288389514	2.374887265917603	2.647940074906367	641.4068163825191	-27.936588208289006	-26.45332199257875	1001	0.9891304347826086	180	267	0.6741573033707865	0.3258426966292135	1	0.28246761423220973	2.428800309273979	-25.20125427245877	-18.615815986138774
YAL038W	P00549	CDC19	S000000036	3RRK3	TRUE	500	500	32	0.064	539	0.5820000000000001	14	1	165	209	208	0.33	0.416	0.3434176	1.918	5.353262869879113	-8.439796572058082	-7.2759555258159905	1012	1	468	0	0.936	0.064	0	0.025427948	16.887729314988587	-4.125277866012376	-3.612464304732712
YAL039C	P06182	CYC3	S000000037	3RTM2	TRUE	269	269	52	0.19330855018587362	497	0.33085501858736055	14	1	75	180	70	0.2788104089219331	0.26022304832713755	1.149152713754647	1.9851301115241635	228.73552414067754	-16.48701744626107	-14.268677954506966	998	0.9861660079051383	217	269	0.8066914498141264	0.19330855018587362	1	0.16510910408921933	4.164760859921034	-11.521230299293963	-8.536492860516395
YAL040C	P13365	CLN3	S000000038	3RSU8	TRUE	580	580	139	0.2396551724137931	927	0.05517241379310345	14	1	19	548	231	0.032758620689655175	0.39827586206896554	1.884473275862069	2.9913793103448274	250.874273820204	-22.529738662509036	-20.883718898372045	1012	1	441	0	0.7603448275862069	0.2396551724137931	0	0.13867229137931034	3.4249488339555603	-13.951918361698775	-11.053725372397954
YAL041W	P11433	CDC24	S000000039	3RT2K	TRUE	854	854	123	0.14402810304449648	1347	0.18735362997658078	14	1	137	694	232	0.16042154566744732	0.2716627634660422	1.0952886416861827	2.418032786885246	78.13446292610969	-17.05100824786436	-15.28771666029922	1012	1	731	0	0.8559718969555035	0.14402810304449648	0	0.07210134894613583	5.478493268936466	-8.12676100267185	-6.513569364860528
YAL042W	P39727	ERV46	S000000040	3RRX6	TRUE	415	415	40	0.0963855421686747	486	0.24337349397590358	14	1	98	314	36	0.236144578313253	0.08674698795180723	1.0726732530120482	2.291566265060241	100.74939591842032	-16.578564216182862	-14.699719629514332	1012	1	375	0	0.9036144578313253	0.0963855421686747	0	0.06382167951807229	8.549915872435307	-6.301325928125438	-4.999220091425734
YAL043C	Q01329	PTA1	S000000041	3RRUT	TRUE	785	785	132	0.1681528662420382	1057	0.07006369426751591	14	1	48	730	164	0.061146496815286625	0.2089171974522293	1.4158459872611464	2.5910828025477706	235.09517948784344	-20.512379850272044	-18.98959619527775	1012	1	653	0	0.8318471337579618	0.1681528662420382	0	0.07786383694267515	5.388705258496892	-8.580686244660768	-6.956066797992197
YAL044C	P39726	GCV3	S000000042	3RU77	TRUE	170	170	23	0.13529411764705881	275	0.17647058823529416	14	1	23	140	54	0.13529411764705881	0.3176470588235294	1.1223511764705882	2.7	66.58742495638187	-18.036856512274202	-16.352585987103588	1012	1	147	0	0.8647058823529412	0.13529411764705881	0	0.03109549411764706	10.138235611369481	-5.074907111321206	-4.439486500574329
YAL044W-A	Q3E793	BOL1	S000007586	3RVKM	TRUE	110	110	22	0.2	156	0.2272727272727273	14	1	22	85	8	0.2	0.07272727272727272	1.1703854545454546	2.581818181818182	4.610451694265585	-18.526192288420667	-16.576250262493524	1012	1	88	0	0.8	0.2	0	0.08008117272727273	4.545236010915577	-9.518962820219489	-7.0378168464172335
YAL047C	P39723	SPC72	S000000045	3RTPY	TRUE	622	622	146	0.2347266881028939	1102	0.030546623794212246	14	1	2	603	376	0.003215434083601286	0.6045016077170418	2.3873416077170417	2.64951768488746	616.7383000330219	-24.69792322706033	-23.265386024461197	1011	0.9990118577075099	476	622	0.7652733118971061	0.2347266881028939	1	NA	3.5538346944166297	-13.988437804514184	-10.853606909675612
YAL048C	P39722	GEM1	S000000046	3RRZB	TRUE	662	662	72	0.10876132930513595	818	0.28851963746223563	14	1	92	471	415	0.13897280966767372	0.6268882175226587	0.8956410876132931	2.0060422960725077	96.91079919551142	-14.037625229739776	-12.436748393373009	1011	0.9990118577075099	590	662	0.8912386706948641	0.10876132930513595	1	0.04148288217522659	8.89780403062586	-5.763038595297056	-4.940339354038
YAL049C	P39721	AIM2	S000000047	3RR5Y	TRUE	246	246	44	0.17886178861788618	341	0.21138211382113825	14	1	49	194	22	0.1991869918699187	0.08943089430894309	1.2123857723577236	2.6463414634146343	125.98368963515269	-18.792384576182563	-16.977966537249287	1012	1	202	0	0.8211382113821138	0.17886178861788618	0	0.14196381707317074	3.886555875614635	-11.466703245310473	-8.728713645385294
YAL053W	P39719	FLC2	S000000049	3RRCZ	TRUE	783	783	106	0.13537675606641125	1053	0.16347381864623245	14	1	125	655	107	0.15964240102171137	0.13665389527458494	1.1356261813537676	2.020434227330779	70.78090383054014	-17.703489486162372	-15.645817141582533	1012	1	677	0	0.8646232439335888	0.13537675606641125	0	0.05016128352490421	7.187646692450781	-6.635214740437818	-5.546339038639023
YAL054C	Q01574	ACS1	S000000050	3RS6E	TRUE	713	713	77	0.10799438990182328	729	0.39551192145862557	14	1	267	431	60	0.3744740532959327	0.08415147265077139	0.7272706591865358	1.8962131837307152	34.33656359911893	-12.303461148232962	-10.626493226053993	1012	1	636	0	0.8920056100981767	0.10799438990182328	0	0.038962385694249646	9.534852363063685	-5.54734657443234	-4.637201053488432
YAL055W	P39718	PEX22	S000000051	3RVXU	TRUE	180	180	62	0.34444444444444444	283	0.01666666666666672	14	1	2	177	59	0.011111111111111112	0.3277777777777778	2.0334433333333335	2.7777777777777777	782.2714308001152	-24.85372969069978	-23.417056316664144	1012	1	118	0	0.6555555555555556	0.34444444444444444	0	0.39102716666666665	3.014939703824721	-21.07212259044991	-14.923668665055807
YAL056W	P39717	GPB2	S000000052	3RT1Y	TRUE	880	880	222	0.25227272727272726	1429	0.03863636363636369	14	1	22	846	491	0.025	0.5579545454545455	2.167921136363636	2.9943181818181817	505.12204215244753	-24.67110900923995	-23.252541188056988	1012	1	658	0	0.7477272727272727	0.25227272727272726	0	0.18825628636363637	3.944380913185088	-13.969500915104502	-11.016318671138334
YAL063C	P39712	FLO9	S000000059	3RRTG	TRUE	1322	1322	207	0.15658093797276854	4206	7.564296520423675e-4	12	0.8571428571428571	1	1321	723	7.564296520423601e-4	0.5468986384266263	3.8494142965204237	3.15052950075643	NA	NA	NA	1012	1	1115	0	0.8434190620272315	0.15658093797276854	0	NA	2.3763413774506783	-41.88757767011492	-26.56797337301704
YAL067C	P39709	SEO1	S000000062	3RRZZ	TRUE	593	593	114	0.19224283305227655	772	0.07757166947723437	14	1	39	547	94	0.0657672849915683	0.15851602023608768	1.369541652613828	1.8111298482293423	678.2618760266689	-20.555694822331954	-18.56104260368481	860	0.849802371541502	479	593	0.8077571669477235	0.19224283305227655	1	NA	2.393780339550307	-21.13281422719759	-13.108000943302482
YAR002W	P39705	NUP60	S000000063	3RUM7	TRUE	539	539	131	0.24304267161410018	895	0.038961038961038974	14	1	5	518	403	0.00927643784786642	0.7476808905380334	2.4997305751391465	2.8274582560296846	1192.6912291181482	-25.240853792906126	-23.58489747594354	1012	1	408	0	0.7569573283858998	0.24304267161410018	0	0.18099208163265307	3.5071631658707854	-13.850825065059647	-10.545547653387002
YAR003W	P39706	SWD1	S000000064	3RRM5	TRUE	426	426	60	0.14084507042253522	512	0.25117370892018775	14	1	89	319	92	0.20892018779342722	0.215962441314554	1.062499061032864	1.9553990610328638	98.18102620054121	-17.111396197204023	-15.164106742441344	1012	1	366	0	0.8591549295774648	0.14084507042253522	0	0.07218779107981221	5.516051039928867	-7.957532176883225	-6.30800186826316
YAR007C	P22336	RFA1	S000000065	3RR8W	TRUE	621	621	65	0.10466988727858294	751	0.1996779388083736	14	1	66	497	392	0.10628019323671498	0.6312399355877617	1.0009977455716585	2.3027375201288245	71.13579717121645	-16.057494904638013	-14.483648431317636	1012	1	556	0	0.895330112721417	0.10466988727858294	0	0.04450747504025765	6.861535404681365	-6.681370927670914	-5.408648824265609
YAR008W	P39707	SEN34	S000000066	3RU5J	TRUE	275	275	54	0.19636363636363635	362	0.14909090909090905	14	1	36	234	103	0.13090909090909092	0.37454545454545457	1.7198163636363637	2.6436363636363636	332.47336448560344	-20.2365964762754	-18.240763026932683	1012	1	221	0	0.8036363636363636	0.19636363636363635	0	0.15013703272727272	3.7533659062335034	-11.538341145041025	-8.633320363520706
YAR014C	P27637	BUD14	S000000069	3RT8A	TRUE	707	NA	NA	NA	1491	0.08062234794908063	14	1	47	650	359	0.06647807637906648	0.5077793493635078	2.289885261669024	2.4611032531824613	1066.287923982815	-23.89527284686183	-21.754123066300245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAR015W	P27616	ADE1	S000000070	3RT6M	TRUE	306	306	44	0.1437908496732026	320	0.4673202614379085	14	1	143	163	17	0.4673202614379085	0.05555555555555555	0.6990157189542484	2.2254901960784315	6.545693437271365	-12.304252678667149	-10.46686887212424	1012	1	262	0	0.8562091503267973	0.1437908496732026	0	0.05290881045751634	8.096936666753374	-6.059103537080497	-5.144563111046269
YAR018C	P22209	KIN3	S000000071	3RS4S	TRUE	435	435	49	0.11264367816091954	979	0.2597701149425288	14	1	106	322	82	0.24367816091954023	0.18850574712643678	0.9517880459770115	2.108045977011494	10.411224557269708	-14.546766851484625	-12.809139444010885	1012	1	386	0	0.8873563218390804	0.11264367816091954	0	0.0833472091954023	6.005708363875178	-7.801734674553657	-5.983053476351908
YAR019C	P27636	CDC15	S000000072	3RTCN	TRUE	974	974	156	0.1601642710472279	1488	0.10574948665297745	14	1	62	871	597	0.063655030800821355	0.6129363449691991	1.7535340862423	3.0328542094455853	451.0814415965693	-18.647778315932534	-16.848450831007472	1012	1	818	0	0.839835728952772	0.1601642710472279	0	0.07083389527720739	5.96613529360366	-8.198434528791477	-6.754147628989278
YAR042W	P35845	SWH1	S000000081	3RT4C	TRUE	1188	1188	226	0.19023569023569023	2004	0.15319865319865322	14	1	155	1006	267	0.13047138047138046	0.22474747474747475	1.4799262626262626	2.015151515151515	620.0912939239341	-20.286811089246314	-17.870479868298574	1003	0.991106719367589	962	1188	0.8097643097643098	0.19023569023569023	1	0.17268197474747476	3.545247933333134	-14.000669440203199	-10.37859801862956
YAR050W	P32768	FLO1	S000000084	3RRTG	TRUE	1537	1537	220	0.14313597918022122	4206	0.0013012361743656164	12	0.8571428571428571	1	1535	938	6.506180871828237e-4	0.6102797657774887	4.002714573845153	3.139882888744307	NA	NA	NA	1012	1	1317	0	0.8568640208197787	0.14313597918022122	0	NA	2.699691114985029	-26.486470452614657	-17.719685883793794
YBL002W	P02294	HTB2	S000000098	3RU7R	TRUE	131	131	8	0.061068702290076333	148	0.8015267175572519	14	1	103	26	5	0.7862595419847328	0.03816793893129771	0.17366679389312978	1.2900763358778626	7.484178968081409	-5.693682250915972	-4.673097537828633	1012	1	123	0	0.9389312977099237	0.061068702290076333	0	0.012029404580152671	36.216873666348405	-3.2058784127168507	-2.998263935750419
YBL003C	P04912	HTA2	S000000099	3RU4C	TRUE	132	132	5	0.03787878787878788	178	0.7954545454545454	14	1	103	27	5	0.7803030303030303	0.03787878787878788	0.10842075757575757	1.5909090909090908	NA	NA	NA	1012	1	127	0	0.9621212121212122	0.03787878787878788	0	0.01240725	27.31490151138495	-3.3445688512525784	-2.990250363378111
YBL004W	P35194	UTP20	S000000100	3RT4Z	TRUE	2493	2493	380	0.152426795026073	2846	0.14600882470918575	14	1	15	2129	2334	0.006016847172081829	0.9362214199759326	1.2845474929803449	2.5238668271159246	153.77318381642812	-17.559706749013916	-15.935370393624124	1012	1	2113	0	0.847573204973927	0.152426795026073	0	NA	4.572131918327968	-9.915346121262708	-7.686983681298028
YBL007C	P32790	SLA1	S000000103	3RSVK	TRUE	1244	1244	243	0.19533762057877813	1699	0.16398713826366562	14	1	137	1040	496	0.11012861736334405	0.3987138263665595	1.4435635852090032	2.335209003215434	527.5391634543699	-19.94297722582166	-18.019317487923406	1012	1	1001	0	0.8046623794212219	0.19533762057877813	0	0.11913914067524116	4.870717988500838	-10.648292121707247	-8.487975349643467
YBL008W	P32479	HIR1	S000000104	3RRTT	TRUE	840	840	134	0.1595238095238095	1041	0.20119047619047614	14	1	88	671	614	0.10476190476190476	0.7309523809523809	1.396264880952381	2.3892857142857142	457.36093329989905	-18.958303241968558	-16.723011448512	1012	1	706	0	0.8404761904761905	0.1595238095238095	0	0.051776690476190476	7.348460209912088	-6.734374337404903	-5.744820538089152
YBL011W	P32784	SCT1	S000000107	3RTFJ	TRUE	759	759	107	0.14097496706192358	966	0.23056653491436097	14	1	138	584	189	0.18181818181818182	0.2490118577075099	1.1840239789196312	2.0171277997364956	295.9522737907966	-16.913150726933445	-14.854790496215927	1012	1	652	0	0.8590250329380764	0.14097496706192358	0	0.05505261133069829	6.733505988029513	-7.089062890160088	-5.9669948834721565
YBL014C	P32786	RRN6	S000000110	3RTJV	TRUE	894	894	186	0.2080536912751678	1373	0.031319910514541416	14	1	25	866	302	0.02796420581655481	0.3378076062639821	2.3201052572706935	2.7706935123042506	586.398746801703	-26.205355331306013	-24.663813285655017	1012	1	708	0	0.7919463087248322	0.2080536912751678	0	0.14098600782997764	3.739164449106718	-12.944943806995527	-10.223138562589028
YBL015W	P32316	ACH1	S000000111	3RR44	TRUE	526	526	47	0.08935361216730038	668	0.564638783269962	14	1	294	229	8	0.55893536121673	0.015209125475285171	0.4105122813688213	1.9049429657794676	5.069237930832712	-9.538972769738681	-8.185684323944834	1011	0.9990118577075099	479	526	0.9106463878326996	0.08935361216730038	1	0.024214777566539922	16.59355494542036	-4.3056407096054725	-3.8908920749665685
YBL016W	P16892	FUS3	S000000112	3RSIW	TRUE	353	353	39	0.11048158640226628	760	0.4050991501416431	14	1	143	210	9	0.40509915014164305	0.025495750708215296	0.7448469971671389	1.651558073654391	5.048041301403262	-12.712917081329856	-10.867393284803569	1012	1	314	0	0.8895184135977338	0.11048158640226628	0	0.055617648725212465	8.328492515492368	-6.022385305424698	-4.873556575060949
YBL017C	P32319	PEP1	S000000113	3RRWK	TRUE	1579	1579	308	0.19506016466117795	1826	0.12032932235592142	13	0.9285714285714286	28	1389	1579	0.01773274224192527	1	1.6423559214692844	2.3590880303989867	537.0990977141109	-19.4271304239801	-17.694907331325687	1012	1	1271	0	0.8049398353388221	0.19506016466117795	0	NA	3.0244015118225045	-18.102412877365886	-12.840478206258627
YBL019W	P38207	APN2	S000000115	3RRWR	TRUE	520	520	91	0.175	799	0.17307692307692313	14	1	35	430	317	0.0673076923076923	0.6096153846153847	1.719732173076923	2.5384615384615383	562.322503876296	-21.394484872537866	-19.070128236658327	1012	1	429	0	0.825	0.175	0	0.20642792499999998	3.1584869416381256	-15.48599583885128	-11.216210647612339
YBL020W	P38206	RFT1	S000000116	3RTHF	TRUE	574	574	82	0.14285714285714285	787	0.0993031358885017	14	1	25	517	381	0.04355400696864112	0.6637630662020906	1.2729026132404182	2.4773519163763065	95.08475219019884	-17.86029189706555	-16.079275181793346	1012	1	492	0	0.8571428571428571	0.14285714285714285	0	0.07407754355400696	6.294040658435957	-7.081401158086469	-5.6550115350592955
YBL021C	P13434	HAP3	S000000117	3RUER	TRUE	144	144	12	0.08333333333333333	241	0.4444444444444444	14	1	57	80	39	0.3958333333333333	0.2708333333333333	1.019584375	1.9444444444444444	17.597796103957347	-13.95089452091094	-10.56062531984535	1012	1	132	0	0.9166666666666666	0.08333333333333333	0	0.04240065277777778	10.3276336842448	-5.219021075397458	-4.336823448496899
